algorithm,n_seeds,fnd_mean,fnd_std,fairness_mean,fairness_std
EBPT_Gamma_0.8,30,636.9666666666667,25.037190727799914,0.49052521101224816,0.1053841983277541
EBPT_Gamma_0.6,30,635.1333333333333,24.545149578197563,0.4870405878946936,0.08395780263170745
Adaptive_real_time_monitoring,30,633.4333333333333,21.51131752378723,0.48583879161984833,0.08421516790716395
EBPT_Gamma_0.4,30,633.3,17.665766622052598,0.4673678618148089,0.08361956511506763
EBPT_Gamma_1.0,30,633.0,19.962032928053436,0.48707347760425745,0.09858168558730836
Baseline_energy_aware,30,632.5333333333333,22.892150941155435,0.49096707625581526,0.07468638612914048
EBPT_Gamma_0.2,30,632.0,20.176804709266086,0.4662821119934474,0.09344466717832964
EBPT_Gamma_0.5,30,631.3333333333334,19.693046792053863,0.48875500822592177,0.05912719158708369
TrafficAware,30,630.5333333333333,24.132869748516246,0.47359387137273173,0.09420551322944164
Hybrid_AllFeatures,30,629.5666666666667,19.265268612522476,0.49629252707701993,0.08658874316011313
Adaptive_balanced,30,629.2666666666667,25.87760759252377,0.4425997673454142,0.08368351385838171
Adaptive_long_term_coverage,30,628.6333333333333,23.40716561864872,0.4639529176036708,0.0845554969776142
EBPT_Gamma_0.0,30,618.0666666666667,22.382156275484938,0.4429340976974809,0.06954938300007144
Baseline_random,30,599.7666666666667,24.75352059019475,0.6074701533398167,0.07861339546436709
Baseline_deterministic,30,81.2,18.437966826351957,0.9505364014197137,0.018320730353509687
