Seed,Algorithm,FND,LP_Bound,Optimality_Gap
0,HEED_Clustered,645,3322.5583050722976,19.412751885055783
1,HEED_Clustered,919,3322.5583050722976,27.659409274986462
2,HEED_Clustered,684,3322.5583050722976,20.586546185082412
3,HEED_Clustered,717,3322.5583050722976,21.579756746643408
4,HEED_Clustered,921,3322.5583050722976,27.719603854475004
5,HEED_Clustered,771,3322.5583050722976,23.205010392834126
6,HEED_Clustered,714,3322.5583050722976,21.48946487741059
7,HEED_Clustered,851,3322.5583050722976,25.61279357237593
8,HEED_Clustered,766,3322.5583050722976,23.054523944112763
9,HEED_Clustered,729,3322.5583050722976,21.94092422357468
0,PEGASIS,2024,3322.5583050722976,60.91691444240761
1,PEGASIS,1565,3322.5583050722976,47.10225844978652
2,PEGASIS,1185,3322.5583050722976,35.66528834696295
3,PEGASIS,1413,3322.5583050722976,42.527470408657095
4,PEGASIS,2202,3322.5583050722976,66.27423201688812
5,PEGASIS,2163,3322.5583050722976,65.10043771686149
6,PEGASIS,2032,3322.5583050722976,61.15769276036179
7,PEGASIS,1809,3322.5583050722976,54.445997147389015
8,PEGASIS,1441,3322.5583050722976,43.37019452149672
9,PEGASIS,2337,3322.5583050722976,70.33736613236492
0,EBPT_Flat_Gamma_0.5,2517,3322.5583050722976,75.75487828633398
1,EBPT_Flat_Gamma_0.5,2682,3322.5583050722976,80.72093109413893
2,EBPT_Flat_Gamma_0.5,2851,3322.5583050722976,85.807373060921
3,EBPT_Flat_Gamma_0.5,2524,3322.5583050722976,75.96555931454388
4,EBPT_Flat_Gamma_0.5,2575,3322.5583050722976,77.50052109150178
5,EBPT_Flat_Gamma_0.5,2593,3322.5583050722976,78.04227230689868
6,EBPT_Flat_Gamma_0.5,2575,3322.5583050722976,77.50052109150178
7,EBPT_Flat_Gamma_0.5,2795,3322.5583050722976,84.12192483524173
8,EBPT_Flat_Gamma_0.5,2690,3322.5583050722976,80.96170941209311
9,EBPT_Flat_Gamma_0.5,2684,3322.5583050722976,80.78112567362749
0,EBPT_Clustered_Gamma_0.5,945,3322.5583050722976,28.441938808337547
1,EBPT_Clustered_Gamma_0.5,962,3322.5583050722976,28.95359273399018
2,EBPT_Clustered_Gamma_0.5,951,3322.5583050722976,28.622522546803182
3,EBPT_Clustered_Gamma_0.5,921,3322.5583050722976,27.719603854475004
4,EBPT_Clustered_Gamma_0.5,966,3322.5583050722976,29.07398189296727
5,EBPT_Clustered_Gamma_0.5,963,3322.5583050722976,28.983690023734454
6,EBPT_Clustered_Gamma_0.5,911,3322.5583050722976,27.41863095703228
7,EBPT_Clustered_Gamma_0.5,962,3322.5583050722976,28.95359273399018
8,EBPT_Clustered_Gamma_0.5,976,3322.5583050722976,29.374954790409998
9,EBPT_Clustered_Gamma_0.5,928,3322.5583050722976,27.930284882684912
0,LEACH_EnergyAware,963,3322.5583050722976,28.983690023734454
1,LEACH_EnergyAware,912,3322.5583050722976,27.448728246776554
2,LEACH_EnergyAware,901,3322.5583050722976,27.117658059589555
3,LEACH_EnergyAware,940,3322.5583050722976,28.29145235961618
4,LEACH_EnergyAware,943,3322.5583050722976,28.381744228848998
5,LEACH_EnergyAware,959,3322.5583050722976,28.863300864757363
6,LEACH_EnergyAware,942,3322.5583050722976,28.35164693910473
7,LEACH_EnergyAware,932,3322.5583050722976,28.050674041662006
8,LEACH_EnergyAware,942,3322.5583050722976,28.35164693910473
9,LEACH_EnergyAware,945,3322.5583050722976,28.441938808337547
