Seed,Algorithm,FND,LP_Bound,Optimality_Gap
0,HEED_Clustered,821,3368.904273736573,24.369941479203842
1,HEED_Clustered,881,3368.904273736573,26.15093598438317
2,HEED_Clustered,844,3368.904273736573,25.052656039522585
3,HEED_Clustered,807,3368.904273736573,23.954376094661995
4,HEED_Clustered,977,3368.904273736573,29.0005271926701
5,HEED_Clustered,934,3368.904273736573,27.724147797291582
6,HEED_Clustered,932,3368.904273736573,27.664781313785603
7,HEED_Clustered,801,3368.904273736573,23.776276644144065
8,HEED_Clustered,905,3368.904273736573,26.863333786454902
9,HEED_Clustered,850,3368.904273736573,25.23075549004052
0,PEGASIS,1579,3368.904273736573,46.86983872796938
1,PEGASIS,1540,3368.904273736573,45.71219229960282
2,PEGASIS,1880,3368.904273736573,55.804494495619025
3,PEGASIS,1795,3368.904273736573,53.28141894661498
4,PEGASIS,1430,3368.904273736573,42.447035706774045
5,PEGASIS,1774,3368.904273736573,52.65807086980221
6,PEGASIS,1940,3368.904273736573,57.585489000798354
7,PEGASIS,2280,3368.904273736573,67.67779119681457
8,PEGASIS,1719,3368.904273736573,51.02549257338782
9,PEGASIS,2080,3368.904273736573,61.74114284621679
0,EBPT_Flat_Gamma_0.5,2526,3368.904273736573,74.97986866804982
1,EBPT_Flat_Gamma_0.5,2686,3368.904273736573,79.72918734852803
2,EBPT_Flat_Gamma_0.5,2600,3368.904273736573,77.17642855777099
3,EBPT_Flat_Gamma_0.5,2631,3368.904273736573,78.09660905211364
4,EBPT_Flat_Gamma_0.5,2615,3368.904273736573,77.62167718406583
5,EBPT_Flat_Gamma_0.5,2624,3368.904273736573,77.88882635984272
6,EBPT_Flat_Gamma_0.5,2765,3368.904273736573,82.07416344701414
7,EBPT_Flat_Gamma_0.5,2714,3368.904273736573,80.56031811761171
8,EBPT_Flat_Gamma_0.5,2557,3368.904273736573,75.90004916239246
9,EBPT_Flat_Gamma_0.5,2632,3368.904273736573,78.12629229386664
0,EBPT_Clustered_Gamma_0.5,942,3368.904273736573,27.961613731315488
1,EBPT_Clustered_Gamma_0.5,985,3368.904273736573,29.23799312669401
2,EBPT_Clustered_Gamma_0.5,965,3368.904273736573,28.644328291634235
3,EBPT_Clustered_Gamma_0.5,953,3368.904273736573,28.288129390598364
4,EBPT_Clustered_Gamma_0.5,932,3368.904273736573,27.664781313785603
5,EBPT_Clustered_Gamma_0.5,986,3368.904273736573,29.267676368447
6,EBPT_Clustered_Gamma_0.5,921,3368.904273736573,27.338265654502724
7,EBPT_Clustered_Gamma_0.5,964,3368.904273736573,28.614645049881243
8,EBPT_Clustered_Gamma_0.5,917,3368.904273736573,27.219532687490773
9,EBPT_Clustered_Gamma_0.5,945,3368.904273736573,28.05066345657446
0,LEACH_EnergyAware,942,3368.904273736573,27.961613731315488
1,LEACH_EnergyAware,927,3368.904273736573,27.516365105020657
2,LEACH_EnergyAware,937,3368.904273736573,27.81319752255055
3,LEACH_EnergyAware,984,3368.904273736573,29.20830988494102
4,LEACH_EnergyAware,943,3368.904273736573,27.99129697306848
5,LEACH_EnergyAware,957,3368.904273736573,28.406862357610326
6,LEACH_EnergyAware,919,3368.904273736573,27.278899170996745
7,LEACH_EnergyAware,917,3368.904273736573,27.219532687490773
8,LEACH_EnergyAware,930,3368.904273736573,27.605414830279624
9,LEACH_EnergyAware,875,3368.904273736573,25.97283653386524
